"Form type","Form description","Filing date","Reporting date"
"4","Statement of changes in beneficial ownership of securities","2023-10-03","2023-10-01"
"4","Statement of changes in beneficial ownership of securities","2023-10-03","2023-10-01"
"4","Statement of changes in beneficial ownership of securities","2023-10-03","2023-10-01"
"4","Statement of changes in beneficial ownership of securities","2023-10-03","2023-10-01"
"4","Statement of changes in beneficial ownership of securities","2023-10-03","2023-10-01"
"144","Report of proposed sale of securities","2023-10-03",""
"144","Report of proposed sale of securities","2023-10-03",""
"144","Report of proposed sale of securities","2023-10-03",""
"144","Report of proposed sale of securities","2023-10-06",""
"144","Report of proposed sale of securities","2023-10-06",""
"4","Statement of changes in beneficial ownership of securities","2023-10-10","2023-10-06"
"4","Statement of changes in beneficial ownership of securities","2023-10-10","2023-10-06"
"144","Report of proposed sale of securities","2023-10-10",""
"4","Statement of changes in beneficial ownership of securities","2023-10-17","2023-10-15"
"8-K","Current report","2023-11-02","2023-11-02"
"10-K","Annual report [Section 13 and 15(d), not S-K Item 405]","2023-11-03","2023-09-30"
"4","Statement of changes in beneficial ownership of securities","2023-11-14","2023-11-10"
"4","Statement of changes in beneficial ownership of securities","2023-11-20","2023-11-16"
"4","Statement of changes in beneficial ownership of securities","2023-12-01","2023-11-29"
"DEFA14A","Additional definitive proxy soliciting materials and Rule 14(a)(12) material","2024-01-11",""
"DEF 14A","Other definitive proxy statements","2024-01-11","2024-02-28"
"25-NSE","Notification filed by national security exchange to report the removal from listing and registration of matured, redeemed or retired securities","2024-01-17",""
"PX14A6G","Notice of exempt solicitation submitted by non-management","2024-01-22",""
"8-K","Current report","2024-02-01","2024-02-01"
"PX14A6G","Notice of exempt solicitation submitted by non-management","2024-02-01",""
"PX14A6G","Notice of exempt solicitation submitted by non-management","2024-02-01",""
"PX14A6G","Notice of exempt solicitation submitted by non-management","2024-02-01",""
"PX14A6G","Notice of exempt solicitation submitted by non-management","2024-02-01",""
"PX14A6G","Notice of exempt solicitation submitted by non-management","2024-02-02",""
"10-Q","Quarterly report [Sections 13 or 15(d)]","2024-02-02","2023-12-30"
"4","Statement of changes in beneficial ownership of securities","2024-02-05","2024-02-01"
"4","Statement of changes in beneficial ownership of securities","2024-02-05","2024-02-01"
"4","Statement of changes in beneficial ownership of securities","2024-02-05","2024-02-01"
"4","Statement of changes in beneficial ownership of securities","2024-02-05","2024-02-01"
"4","Statement of changes in beneficial ownership of securities","2024-02-05","2024-02-01"
"4","Statement of changes in beneficial ownership of securities","2024-02-05","2024-02-01"
"4","Statement of changes in beneficial ownership of securities","2024-02-05","2024-02-01"
"4","Statement of changes in beneficial ownership of securities","2024-02-05","2024-02-01"
"PX14A6G","Notice of exempt solicitation submitted by non-management","2024-02-05",""
"PX14A6G","Notice of exempt solicitation submitted by non-management","2024-02-09",""
"SC 13G/A","Statement of Beneficial Ownership by Certain Investors - amendment","2024-02-12",""
"SC 13G/A","Statement of Beneficial Ownership by Certain Investors - amendment","2024-02-13",""
"SC 13G/A","Statement of Beneficial Ownership by Certain Investors - amendment","2024-02-14",""
"8-K","Current report","2024-02-28","2024-02-28"
"144","Report of proposed sale of securities","2024-02-29",""
"4","Statement of changes in beneficial ownership of securities","2024-03-01","2024-02-28"
"4","Statement of changes in beneficial ownership of securities","2024-03-01","2024-02-28"
"4","Statement of changes in beneficial ownership of securities","2024-03-01","2024-02-28"
"4","Statement of changes in beneficial ownership of securities","2024-03-01","2024-02-28"
"4","Statement of changes in beneficial ownership of securities","2024-03-01","2024-02-28"
"4","Statement of changes in beneficial ownership of securities","2024-03-01","2024-02-28"
"4","Statement of changes in beneficial ownership of securities","2024-03-01","2024-02-28"
"3","Initial statement of beneficial ownership of securities","2024-03-01","2024-02-28"
"UPLOAD","SEC-generated letter","2024-03-06",""
"CORRESP","Correspondence","2024-03-20",""
"SD","Form - SD","2024-03-27",""
"144","Report of proposed sale of securities","2024-04-02",""
"144","Report of proposed sale of securities","2024-04-02",""
"144","Report of proposed sale of securities","2024-04-02",""
"UPLOAD","SEC-generated letter","2024-04-02",""
"4","Statement of changes in beneficial ownership of securities","2024-04-03","2024-04-01"
"4","Statement of changes in beneficial ownership of securities","2024-04-03","2024-04-01"
"4","Statement of changes in beneficial ownership of securities","2024-04-03","2024-04-01"
"4","Statement of changes in beneficial ownership of securities","2024-04-03","2024-04-01"
"4","Statement of changes in beneficial ownership of securities","2024-04-03","2024-04-01"
"CORRESP","Correspondence","2024-04-05",""
"144","Report of proposed sale of securities","2024-04-11",""
"144","Report of proposed sale of securities","2024-04-11",""
"4","Statement of changes in beneficial ownership of securities","2024-04-15","2024-04-11"
"4","Statement of changes in beneficial ownership of securities","2024-04-15","2024-04-11"
"4","Statement of changes in beneficial ownership of securities","2024-04-17","2024-04-15"
"CORRESP","Correspondence","2024-04-29",""
"8-K","Current report","2024-05-02","2024-05-02"
"8-K","Current report","2024-05-03","2024-05-03"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2024-05-03","2024-03-30"
"4","Statement of changes in beneficial ownership of securities","2024-05-14","2024-05-10"
"UPLOAD","SEC-generated letter","2024-05-16",""
"4","Statement of changes in beneficial ownership of securities","2024-05-17","2024-05-15"
"144","Report of proposed sale of securities","2024-05-30",""
"4","Statement of changes in beneficial ownership of securities","2024-06-03","2024-05-30"
"8-K","Current report","2024-08-01","2024-08-01"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2024-08-02","2024-06-29"
"144","Report of proposed sale of securities","2024-08-05",""
"4","Statement of changes in beneficial ownership of securities","2024-08-07","2024-08-05"
"4","Statement of changes in beneficial ownership of securities","2024-08-13","2024-08-09"
"4","Statement of changes in beneficial ownership of securities","2024-08-19","2024-08-15"
"8-K","Current report","2024-08-23","2024-08-20"
"8-K","Current report","2024-08-26","2024-08-26"
"8-K","Current report","2024-09-10","2024-09-10"
"5","Annual statement of changes in beneficial ownership of securities","2024-10-01","2024-09-28"
"4","Statement of changes in beneficial ownership of securities","2024-10-01","2024-09-29"
"4","Statement of changes in beneficial ownership of securities","2024-10-01","2024-09-29"
"4","Statement of changes in beneficial ownership of securities","2024-10-01","2024-09-29"
"4","Statement of changes in beneficial ownership of securities","2024-10-01","2024-09-29"
"4","Statement of changes in beneficial ownership of securities","2024-10-01","2024-09-29"
"4","Statement of changes in beneficial ownership of securities","2024-10-01","2024-09-29"
"144","Report of proposed sale of securities","2024-10-02",""
"144","Report of proposed sale of securities","2024-10-02",""
"144","Report of proposed sale of securities","2024-10-02",""
"144","Report of proposed sale of securities","2024-10-02",""
"4","Statement of changes in beneficial ownership of securities","2024-10-03","2024-10-01"
"4","Statement of changes in beneficial ownership of securities","2024-10-03","2024-10-01"
"4","Statement of changes in beneficial ownership of securities","2024-10-03","2024-10-01"
"4","Statement of changes in beneficial ownership of securities","2024-10-03","2024-10-01"
"4","Statement of changes in beneficial ownership of securities","2024-10-03","2024-10-01"
"144","Report of proposed sale of securities","2024-10-04",""
"4","Statement of changes in beneficial ownership of securities","2024-10-08","2024-10-04"
"4","Statement of changes in beneficial ownership of securities","2024-10-17","2024-10-15"
"8-K","Current report","2024-10-31","2024-10-31"
"S-3ASR","Automatic shelf registration statement of securities of well-known seasoned issuers","2024-11-01",""
"10-K","Annual report [Section 13 and 15(d), not S-K Item 405]","2024-11-01","2024-09-28"
"4","Statement of changes in beneficial ownership of securities","2024-11-07","2024-11-05"
"144","Report of proposed sale of securities","2024-11-15",""
"144","Report of proposed sale of securities","2024-11-18",""
"4","Statement of changes in beneficial ownership of securities","2024-11-19","2024-11-15"
"4","Statement of changes in beneficial ownership of securities","2024-11-19","2024-11-18"
"144","Report of proposed sale of securities","2024-11-19",""
